id,stock,Nasdaq Traded,security_name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
0,A,Y,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,,A,A,N
1,AAMC,Y,Altisource Asset Management Corp Com,A, ,N,100.0,N,,AAMC,AAMC,N
2,AAME,Y,Atlantic American Corporation - Common Stock,Q,G,N,100.0,N,N,,AAME,N
3,AAN,Y,"Aaron's, Inc. Common Stock",N, ,N,100.0,N,,AAN,AAN,N
4,AAOI,Y,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,N,,AAOI,N
5,AAON,Y,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAON,N
6,AAP,Y,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,N,100.0,N,,AAP,AAP,N
7,AAPL,Y,Apple Inc. - Common Stock,Q,Q,N,100.0,N,N,,AAPL,N
8,AAU,Y,"Almaden Minerals, Ltd. Common Shares",A, ,N,100.0,N,,AAU,AAU,N
9,AAWW,Y,Atlas Air Worldwide Holdings - Common Stock,Q,Q,N,100.0,N,N,,AAWW,N
10,AAXJ,Y,iShares MSCI All Country Asia ex Japan Index Fund,Q,G,Y,100.0,N,N,,AAXJ,N
11,AB,Y,AllianceBernstein Holding L.P.  Units,N, ,N,100.0,N,,AB,AB,N
12,ABB,Y,ABB Ltd Common Stock,N, ,N,100.0,N,,ABB,ABB,N
13,ABBV,Y,AbbVie Inc. Common Stock,N, ,N,100.0,N,,ABBV,ABBV,N
14,ABC,Y,AmerisourceBergen Corporation Common Stock,N, ,N,100.0,N,,ABC,ABC,N
15,ABCB,Y,Ameris Bancorp - Common Stock,Q,Q,N,100.0,N,N,,ABCB,N
16,ABEV,Y,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N, ,N,100.0,N,,ABEV,ABEV,N
17,ABG,Y,Asbury Automotive Group Inc Common Stock,N, ,N,100.0,N,,ABG,ABG,N
18,ABIO,Y,"ARCA biopharma, Inc. - Common Stock",Q,S,N,100.0,N,N,,ABIO,N
19,ABM,Y,ABM Industries Incorporated Common Stock,N, ,N,100.0,N,,ABM,ABM,N
20,ABMD,Y,"ABIOMED, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ABMD,N
21,ABR,Y,Arbor Realty Trust Common Stock,N, ,N,100.0,N,,ABR,ABR,N
22,ACAD,Y,ACADIA Pharmaceuticals Inc. - Common Stock,Q,Q,N,100.0,N,N,,ACAD,N
23,ACC,Y,American Campus Communities Inc Common Stock,N, ,N,100.0,N,,ACC,ACC,N
